commit_id,commit_time,commit_message,author
1df249a,2023-03-18 09:05:37,fix bugs,nsokolov
b67c490,2023-03-18 01:40:45,fix bug in module,knikolaeva
5a07275,2023-03-18 07:09:35,fix bug in module,lvasiliev
355ce14,2023-03-18 01:20:36,refactor code,lvasiliev
6353ed2,2023-03-18 20:14:53,update documentation,nsokolov
8b87715,2023-03-18 18:29:15,fix bugs,knikolaeva
349e20f,2023-03-18 21:45:03,fix bug in module,aivanov
9f67c4e,2023-03-18 15:19:09,improve user experience,knikolaeva
0eb2e6b,2023-03-18 00:30:50,add feature,aivanov
38d135e,2023-03-18 10:18:55,fix bug in module,nsokolov
dc1cd57,2023-03-18 13:50:51,optimize performance,pzaitsev
1fc5250,2023-03-18 15:16:15,update documentation,lvasiliev
134d711,2023-03-18 10:04:19,update dependencies,dsmisnov
056da41,2023-03-18 12:40:40,fix bug,lvasiliev
26e5481,2023-03-18 07:48:23,fix bug in module,nsokolov
a5c475e,2023-03-18 13:40:14,fix bugs,pzaitsev
fc3ee57,2023-03-18 17:19:31,refactor code,okozlova
c9f635c,2023-03-18 20:49:50,fix bug,aivanov
4a7c56f,2023-03-18 09:32:34,optimize performance,dsmisnov
b51e47f,2023-03-18 20:15:12,implement new design,ekuznetsova
c55c699,2023-03-18 11:16:53,fix bug,pzaitsev
b58701b,2023-03-18 14:05:55,fix bugs,okozlova
d953daf,2023-03-18 23:25:13,optimize performance,nsokolov
128e294,2023-03-18 12:04:07,implement new design,knikolaeva
a2154d5,2023-03-18 08:39:58,update documentation,ekuznetsova
3e7918f,2023-03-18 20:00:54,fix bugs,pzaitsev
ac18c5b,2023-03-18 22:54:08,fix issue,okozlova
f6b2f78,2023-03-18 19:40:31,fix issue,knikolaeva
036bc3f,2023-03-18 22:20:21,fix bug,aivanov
06a3355,2023-03-18 07:56:52,update dependencies,nsokolov
285e228,2023-03-18 14:18:45,update dependencies,okozlova
8ed8479,2023-03-18 20:58:00,optimize performance,abelov
e43c27e,2023-03-18 13:52:12,refactor code,okozlova
532d1fd,2023-03-18 19:34:54,optimize performance,lvasiliev
e9cb746,2023-03-18 07:00:35,add unit tests,abelov
86b2811,2023-03-18 11:06:20,fix bugs,ekuznetsova
b5b0714,2023-03-18 01:27:36,fix bug,okozlova
41ccdd7,2023-03-18 07:27:19,fix bugs,pzaitsev
39f3834,2023-03-18 07:23:41,optimize performance,knikolaeva
efac0e5,2023-03-18 23:15:13,fix bug,mpetrova
7a91c67,2023-03-18 01:04:40,update documentation,ekuznetsova
0d40be6,2023-03-18 15:21:08,fix bug in module,mpetrova
d66ac9f,2023-03-18 16:42:58,implement new design,aivanov
37710f2,2023-03-18 14:05:19,improve user experience,dsmisnov
a434669,2023-03-18 12:51:23,fix bug in module,ekuznetsova
6fa4e1c,2023-03-18 18:39:10,fix bugs,dsmisnov
