commit_id,commit_time,commit_message,author
4a34b5d,2023-03-18 00:03:21,update dependencies,mpetrova
9600ec1,2023-03-18 08:50:02,fix bug,abelov
ff93a8c,2023-03-18 16:59:10,refactor code,nsokolov
6eb661b,2023-03-18 01:08:32,refactor code,abelov
d35dbc6,2023-03-18 00:35:15,improve user experience,knikolaeva
534be9d,2023-03-18 15:25:48,fix bug in module,abelov
089ee44,2023-03-18 10:09:05,update documentation,okozlova
22d0eb2,2023-03-18 08:33:37,update documentation,nsokolov
4e8ed2b,2023-03-18 17:06:03,fix issue,pzaitsev
ebc7020,2023-03-18 08:48:46,fix bug in module,nsokolov
6018d5d,2023-03-18 23:04:42,improve user experience,mpetrova
14c8f8d,2023-03-18 08:15:16,refactor code,knikolaeva
1ce2e7f,2023-03-18 23:39:04,add feature,okozlova
bd8cc0c,2023-03-18 11:05:20,refactor code,mpetrova
7f21587,2023-03-18 13:45:56,fix bug,aivanov
d4d3b0b,2023-03-18 14:01:06,fix bugs,dsmisnov
a7ff8d2,2023-03-18 15:15:35,add feature,abelov
9a423d4,2023-03-18 01:16:11,refactor code,pzaitsev
e5c5897,2023-03-18 19:56:24,update dependencies,nsokolov
e6e7ec9,2023-03-18 08:06:31,add unit tests,lvasiliev
33fc968,2023-03-18 08:46:47,improve user experience,lvasiliev
61b3c3a,2023-03-18 10:06:57,fix bug in module,mpetrova
57ff89a,2023-03-18 13:34:38,fix bugs,nsokolov
43584c6,2023-03-18 17:18:01,refactor code,aivanov
5321f40,2023-03-18 14:58:54,fix bug in module,dsmisnov
4243bc2,2023-03-18 17:03:04,fix bug in module,abelov
14317c9,2023-03-18 21:01:30,update dependencies,mpetrova
6b71fa6,2023-03-18 08:24:52,improve user experience,mpetrova
5f1b826,2023-03-18 12:12:33,fix bugs,pzaitsev
cdf1141,2023-03-18 21:48:18,fix issue,dsmisnov
91fffb6,2023-03-18 16:11:30,fix bug,dsmisnov
b9b245e,2023-03-18 22:38:11,add unit tests,lvasiliev
52b3a95,2023-03-18 10:05:01,implement new design,knikolaeva
8d6165e,2023-03-18 08:26:26,fix bug in module,abelov
d81a67b,2023-03-18 12:16:07,fix bug in module,abelov
5fb15cd,2023-03-18 14:36:11,implement new design,aivanov
1d2e5bd,2023-03-18 18:44:27,add unit tests,lvasiliev
4a6edc2,2023-03-18 15:28:02,fix bug in module,knikolaeva
1f2960f,2023-03-18 10:17:43,improve user experience,ekuznetsova
845af74,2023-03-18 13:51:42,add feature,aivanov
8f9916e,2023-03-18 23:17:51,add feature,mpetrova
e55953b,2023-03-18 00:57:58,refactor code,dsmisnov
0b660ff,2023-03-18 16:22:08,update documentation,aivanov
39e2c46,2023-03-18 15:49:38,add unit tests,knikolaeva
32e9c48,2023-03-18 14:08:19,fix bug,okozlova
fbf5a15,2023-03-18 00:05:58,update documentation,nsokolov
6eeb752,2023-03-18 10:10:20,fix bug in module,mpetrova
d352a6d,2023-03-18 12:52:12,fix bugs,aivanov
c2407e6,2023-03-18 19:06:12,update documentation,nsokolov
3ea7c89,2023-03-18 00:04:42,fix bug,ekuznetsova
