commit_id,commit_time,commit_message,author
aefe424,2023-03-18 22:58:33,implement new design,nsokolov
99e40e8,2023-03-18 11:31:27,implement new design,abelov
104ec1b,2023-03-18 19:29:49,fix bug,pzaitsev
8b5a5bb,2023-03-18 00:01:38,improve user experience,knikolaeva
de3ab06,2023-03-18 07:57:22,fix bugs,ekuznetsova
c971ed7,2023-03-18 18:29:02,add feature,pzaitsev
d7a6f83,2023-03-18 16:12:05,update dependencies,nsokolov
9c238c7,2023-03-18 22:11:54,optimize performance,abelov
4b1780a,2023-03-18 20:28:35,optimize performance,mpetrova
219a176,2023-03-18 12:07:07,fix bug,mpetrova
16b6de6,2023-03-18 15:06:15,fix bug,okozlova
c1a9172,2023-03-18 10:03:06,update dependencies,knikolaeva
962b91f,2023-03-18 19:06:54,add feature,ekuznetsova
aba5d97,2023-03-18 22:05:48,optimize performance,pzaitsev
123e949,2023-03-18 19:58:58,update dependencies,mpetrova
41c41ed,2023-03-18 00:53:10,improve user experience,mpetrova
0cc95df,2023-03-18 20:41:39,implement new design,dsmisnov
ff4914b,2023-03-18 10:44:12,fix bugs,knikolaeva
39b280e,2023-03-18 14:17:55,fix bug in module,aivanov
5b9654c,2023-03-18 12:22:55,refactor code,ekuznetsova
247dda9,2023-03-18 08:40:13,implement new design,pzaitsev
4640c6b,2023-03-18 00:25:28,add feature,lvasiliev
e831061,2023-03-18 22:12:36,update documentation,abelov
366309e,2023-03-18 01:57:58,implement new design,dsmisnov
bc42d8b,2023-03-18 23:05:49,fix bug in module,knikolaeva
9c217b5,2023-03-18 11:26:44,fix bug in module,dsmisnov
ab1f60f,2023-03-18 23:08:20,add feature,pzaitsev
aefcfee,2023-03-18 00:28:17,update dependencies,aivanov
593558c,2023-03-18 00:30:35,improve user experience,lvasiliev
950cd48,2023-03-18 11:35:09,add feature,abelov
6f8c15b,2023-03-18 21:40:15,update dependencies,aivanov
8c0656b,2023-03-18 13:10:29,refactor code,pzaitsev
6432e93,2023-03-18 23:56:01,fix issue,lvasiliev
af8fc56,2023-03-18 18:56:16,improve user experience,abelov
e9e6fbe,2023-03-18 14:00:26,fix issue,abelov
cb97545,2023-03-18 20:54:26,update dependencies,dsmisnov
ebb1e36,2023-03-18 12:08:25,update documentation,dsmisnov
34228a5,2023-03-18 19:58:11,add unit tests,okozlova
